2017-12-04,2657.189941,2665.189941,2639.030029,2639.439941,2639.439941,4023150000
2017-12-05,2639.780029,2648.719971,2627.729980,2629.570068,2629.570068,3539040000
2017-12-06,2626.239990,2634.409912,2624.750000,2629.270020,2629.270020,3229000000
2017-12-07,2628.379883,2640.989990,2626.530029,2636.979980,2636.979980,3292400000
2017-12-08,2646.209961,2651.649902,2644.100098,2651.500000,2651.500000,3106150000
2017-12-11,2652.189941,2660.330078,2651.469971,2659.989990,2659.989990,3091950000
2017-12-12,2661.729980,2669.719971,2659.780029,2664.110107,2664.110107,3555680000
2017-12-13,2667.590088,2671.879883,2662.850098,2662.850098,2662.850098,3542370000
2017-12-14,2665.870117,2668.090088,2652.010010,2652.010010,2652.010010,3430030000
2017-12-15,2660.629883,2679.629883,2659.139893,2675.810059,2675.810059,5723920000
2017-12-18,2685.919922,2694.969971,2685.919922,2690.159912,2690.159912,3724660000
2017-12-19,2692.709961,2694.439941,2680.739990,2681.469971,2681.469971,3368590000
2017-12-20,2688.179932,2691.010010,2676.110107,2679.250000,2679.250000,3241030000
2017-12-21,2683.020020,2692.639893,2682.399902,2684.570068,2684.570068,3273390000
2017-12-22,2684.219971,2685.350098,2678.129883,2683.340088,2683.340088,2399830000
2017-12-26,2679.090088,2682.739990,2677.959961,2680.500000,2680.500000,1968780000
2017-12-27,2682.100098,2685.639893,2678.909912,2682.620117,2682.620117,2202080000
2017-12-28,2686.100098,2687.659912,2682.689941,2687.540039,2687.540039,2153330000
2017-12-29,2689.149902,2692.120117,2673.610107,2673.610107,2673.610107,2443490000
2018-01-02,2683.729980,2695.889893,2682.360107,2695.790039,2695.790039,3357250000
